Name,a,e,i,predicted_class,predicted_prob_mean,predicted_prob_std,predictive_entropy
,30.5728475,0.7509413,90.4475,1,0.99907565,0.002374396,0.007382459
,37.3396049,0.9441832,141.8099,1,0.99888045,0.004632842,0.008725419
,33.8192447,0.8121193,62.991,1,0.998255,0.0034418025,0.012825953
,42.3031407,0.9382846,150.36981,1,0.9982227,0.007358877,0.013030969
,34.0712857,0.8767861,103.83325,1,0.9981668,0.006581614,0.013383678
,39.4317042,0.7777092,79.58574,1,0.9980438,0.009973133,0.014154776
,36.1560608,0.8221159,84.23928,1,0.9980133,0.0070687793,0.014344532
,36.2645748,0.9006879,157.51764,1,0.99801314,0.011258366,0.014345654
,36.5874087,0.952145,116.88034,1,0.99792314,0.010007078,0.014903816
,32.8376748,0.920184,83.4797,1,0.99789953,0.009706554,0.015048698
,46.027361,0.8180728,85.49382,1,0.99784964,0.0070389174,0.015356065
,30.3117168,0.2642261,53.85784,1,0.9977753,0.0049674986,0.015810609
,33.9835936,0.8376462,68.47683,1,0.99771845,0.005246691,0.01615723
,31.4186282,0.9071283,105.22204,1,0.9976539,0.011522656,0.016548881
,31.6154289,0.908208,146.16606,1,0.9976418,0.012847409,0.016621742
Taowu,35.6817212,0.3326178,110.30416,1,0.99760133,0.008158253,0.01686659
,44.1842335,0.8985553,92.23765,1,0.9975003,0.006780448,0.017474072
,54.3379264,0.9564801,91.25225,1,0.99738526,0.0056073833,0.018160269
,47.8634385,0.7713146,89.17258,1,0.9971675,0.0062079206,0.01944537
,58.5117728,0.9704894,94.65722,1,0.99702716,0.0070863604,0.020265244
,41.5986605,0.9265459,58.27906,1,0.99701387,0.0047218064,0.02034246
,35.9281903,0.9481258,87.44597,1,0.9969821,0.009435045,0.020526832
,30.3194754,0.8853645,42.91038,1,0.9969821,0.003987073,0.020526892
,39.9745403,0.0666141,54.79,1,0.9969766,0.004470357,0.020558203
,33.2910158,0.9546767,156.44598,1,0.9969091,0.019311748,0.020949587
,78.5348701,0.9678781,154.64659,1,0.99689484,0.00979837,0.021031553
,46.1456316,0.6463829,174.38114,1,0.99674255,0.018753424,0.021906987
,60.1164541,0.8389573,146.09524,1,0.99665695,0.014398678,0.022395728
,32.4413394,0.371635,42.82902,1,0.99649376,0.004801261,0.02332145
,74.8219566,0.2234214,174.46945,1,0.9963921,0.025912499,0.023894563
,39.3026445,0.385582,54.26196,1,0.99621147,0.005966889,0.024905244
,42.4796504,0.9466565,74.85317,1,0.99616796,0.01002643,0.02514765
,38.609864,0.0991324,55.86748,1,0.996124,0.006373914,0.02539151
,36.0200753,0.9025705,147.17976,1,0.9958916,0.021189798,0.02667465
,31.38951,0.9238598,81.56111,1,0.9958298,0.021700723,0.027013185
,30.2135995,0.035332,38.89742,1,0.9955573,0.0049017016,0.028496534
,54.1581106,0.9532941,82.51576,1,0.99555343,0.019982139,0.02851731
,32.905747,0.8840659,160.73544,1,0.9954336,0.029584732,0.029164301
,47.1054825,0.0990531,87.63707,1,0.9953629,0.010778787,0.02954439
,45.7537162,0.0157663,61.47008,1,0.9952899,0.0063712415,0.029936142
,38.0113172,0.2421345,46.47742,1,0.9952837,0.004916091,0.029968638
,38.5376892,0.7547295,85.93458,1,0.9952325,0.027752362,0.030242428
