name,a,e,i,predicted_class,predicted_prob_mean,predicted_prob_std,predictive_entropy,variation_ratio,prob_mean_c0,prob_std_c0,prob_mean_c1,prob_std_c1
9,44.2519752,0.0737229,2.18575,1,0.9877821,0.010296073,0.065960996,0.0,0.012217901,0.010296063,0.9877821,0.010296073
10,39.7478307,0.32697,1.93673,1,0.99044496,0.0075984057,0.053946868,0.0,0.009555074,0.0075984066,0.99044496,0.0075984057
11,39.7832705,0.1844019,5.15581,1,0.9895942,0.008496707,0.057858307,0.0,0.010405884,0.008496703,0.9895942,0.008496707
12,43.6083223,0.063086,0.56611,1,0.9877851,0.016074196,0.06594779,0.0,0.012214888,0.016074201,0.9877851,0.016074196
13,42.0686346,0.2143917,14.05879,1,0.9895706,0.007494268,0.0579651,0.0,0.010429294,0.007494272,0.9895706,0.007494268
14,39.2353696,0.1140708,3.80395,1,0.9897685,0.008255524,0.05706252,0.0,0.010231474,0.008255527,0.9897685,0.008255524
15,39.8849903,0.323523,12.12861,1,0.9898772,0.006546135,0.05656482,0.0,0.010122741,0.0065461267,0.9898772,0.006546135
16,36.3649244,0.0763402,6.55157,1,0.9905722,0.00679768,0.053355165,0.0,0.009427752,0.006797673,0.9905722,0.00679768
17,84.9704639,0.5871626,23.94958,1,0.7652826,0.17950289,0.54491395,0.0,0.23471741,0.17950289,0.7652826,0.17950289
18,39.7429217,0.3349952,5.68386,1,0.990084,0.008826781,0.055615112,0.0,0.009915978,0.00882678,0.990084,0.008826781
19,47.1145942,0.2157726,19.13018,1,0.987236,0.010655351,0.06834747,0.0,0.012763965,0.010655347,0.987236,0.010655351
20,43.8492734,0.0455939,3.74815,1,0.9868086,0.012491655,0.07019876,0.0,0.013191358,0.0124916565,0.9868086,0.012491655
21,43.0680265,0.0332433,1.48581,1,0.9900944,0.009313145,0.055567145,0.0,0.009905563,0.009313143,0.9900944,0.009313145
22,39.9566783,0.264203,4.73484,1,0.98987174,0.008604859,0.05658995,0.0,0.010128225,0.00860486,0.98987174,0.008604859
23,43.5104455,0.1132789,27.40994,1,0.98962975,0.008441323,0.057696093,0.0,0.010370264,0.008441329,0.98962975,0.008441323
24,46.098707,0.110179,12.01563,1,0.9879778,0.009972218,0.065099694,0.0,0.012022173,0.009972217,0.9879778,0.009972218
25,43.1372631,0.0535638,17.13953,1,0.98963743,0.0073353476,0.057660732,0.0,0.010362489,0.0073353513,0.98963743,0.0073353476
26,39.7293883,0.146266,19.5397,1,0.9898784,0.0074031847,0.056559514,0.0,0.010121592,0.007403182,0.9898784,0.0074031847
27,48.0375176,0.3960254,12.42448,1,0.988126,0.010851158,0.064445615,0.0,0.011874039,0.01085115,0.988126,0.010851158
29,42.1352827,0.1112472,27.01539,1,0.98991114,0.008104149,0.05640988,0.0,0.0100889765,0.008104148,0.98991114,0.008104149
30,39.7271708,0.2331416,16.55965,1,0.9908524,0.006616653,0.052046627,0.0,0.009147536,0.0066166506,0.9908524,0.006616653
31,43.1201508,0.0482686,2.39652,1,0.9901166,0.008770176,0.05546514,0.0,0.009883422,0.008770181,0.9901166,0.008770176
32,92.2569195,0.5863446,13.364,1,0.52851623,0.29636276,0.69152,0.0,0.47148377,0.29636276,0.52851623,0.29636276
33,47.9798181,0.3705218,13.48425,1,0.9863617,0.011872097,0.072119586,0.0,0.013638279,0.011872092,0.9863617,0.011872097
34,55.3701622,0.4191915,7.61485,1,0.9804252,0.018828359,0.09637969,0.0,0.0195748,0.018828359,0.9804252,0.018828359
35,39.3749838,0.2449509,19.67473,1,0.99151057,0.006461785,0.04893884,0.0,0.008489436,0.006461786,0.99151057,0.006461785
36,98.6958643,0.8747511,5.96199,0,0.52707845,0.31904998,0.69168,0.0,0.52707845,0.31904998,0.47292152,0.31904998
39,39.9828566,0.2676883,4.83342,1,0.9906194,0.0065660193,0.053135417,0.0,0.009380575,0.0065660137,0.9906194,0.0065660193
40,43.5673404,0.0345692,1.45371,1,0.9859489,0.014305407,0.073880285,0.0,0.0140510015,0.0143054,0.9859489,0.014305407
